sample_id,text,prediction,probability,words,scores
0,이 영화 정말 재미있어요 추천합니다,1,0.9878011,"[""이"", ""영화"", ""정말"", ""재미있어요"", ""추천합니다""]","[0.01155378669500351, -0.06471430510282516, 0.2376217097043991, 0.431479811668396, 0.25463035702705383]"
1,스토리가 지루하고 배우들 연기도 별로네요,0,0.9771275,"[""스토리가"", ""지루하고"", ""배우들"", ""연기도"", ""별로네요""]","[0.021998513489961624, -0.4240332841873169, -0.20735898613929749, 0.3224301338195801, 0.02417905069887638]"
2,처음엔 지루했는데 갈수록 정말 재미있어지네요,1,0.9874565,"[""처음엔"", ""지루했는데"", ""갈수록"", ""정말"", ""재미있어지네요""]","[0.04953761771321297, -0.0007027375395409763, 0.15402552485466003, 0.09569720178842545, 0.7000369429588318]"
3,배우들의 연기는 명품인데 각본이 너무 쓰레기네요,0,0.97373974,"[""배우들의"", ""연기는"", ""명품인데"", ""각본이"", ""너무"", ""쓰레기네요""]","[0.06451861560344696, 0.012428575195372105, 0.3997136652469635, -0.1517903059720993, -0.15755786001682281, 0.21399104595184326]"
4,와... 이런 영화에 내 피 같은 돈을 쓰다니 대단하다,0,0.84672153,"[""와..."", ""이런"", ""영화에"", ""내"", ""피"", ""같은"", ""돈을"", ""쓰다니"", ""대단하다""]","[0.07330428808927536, 0.167753666639328, -0.12993355095386505, -0.09688036888837814, 0.07901917397975922, -0.04379300773143768, -0.23527665436267853, -0.02273978479206562, 0.15129952132701874]"
5,수면제 대신 보면 딱 좋은 훌륭한 영화입니다,1,0.8086187,"[""수면제"", ""대신"", ""보면"", ""딱"", ""좋은"", ""훌륭한"", ""영화입니다""]","[-0.06543852388858795, 0.12055511027574539, -0.008943522348999977, 0.14752671122550964, -0.11049365997314453, 0.2067950963973999, 0.34024736285209656]"
6,와 진짜 개존잼!!! 꼭보세요 ㅋㅋㅋ,1,0.9883562,"[""와"", ""진짜"", ""개존잼!!!"", ""꼭보세요"", ""ㅋㅋㅋ""]","[-0.005307937506586313, 0.10768382251262665, 0.43555596470832825, 0.32273542881011963, 0.1287168562412262]"
7,시간낭비 오지구요 지리구요 다신 안봄 ㅡㅡ,0,0.97471297,"[""시간낭비"", ""오지구요"", ""지리구요"", ""다신"", ""안봄"", ""ㅡㅡ""]","[0.005470019765198231, -0.0188349150121212, -0.02971627376973629, -0.06289248168468475, -0.8571494817733765, 0.02593684196472168]"
8,스토리가 지루하긴 한데 배우들은 멋있음,1,0.9827718,"[""스토리가"", ""지루하긴"", ""한데"", ""배우들은"", ""멋있음""]","[0.04826951399445534, -0.02388533018529415, 0.039796680212020874, 0.25375065207481384, 0.634297788143158]"
9,"상당히 재미있는 영화에요 친구들이나 부모님, 가족끼리 보면 더 재밌을 것 같아요",1,0.9858596,"[""상당히"", ""재미있는"", ""영화에요"", ""친구들이나"", ""부모님,"", ""가족끼리"", ""보면"", ""더"", ""재밌을"", ""것"", ""같아요""]","[-0.013219935819506645, 0.36771485209465027, 0.11901793628931046, -0.002422477351501584, 0.3012802004814148, 0.06878278404474258, 0.04228374734520912, 0.016339683905243874, -0.006378439720720053, 0.010758277960121632, 0.051801666617393494]"
10,평점 알바들만 넘치네 진짜 돈 아깝다,0,0.9775414,"[""평점"", ""알바들만"", ""넘치네"", ""진짜"", ""돈"", ""아깝다""]","[0.06385219097137451, 0.03657175227999687, 0.08258013427257538, 0.14881950616836548, -0.3057795763015747, -0.36239689588546753]"
11,어설픈 신파보다 백배 천배 낫다. 가슴 먹먹해지는 수작.,1,0.9873697,"[""어설픈"", ""신파보다"", ""백배"", ""천배"", ""낫다."", ""가슴"", ""먹먹해지는"", ""수작.""]","[-0.05085721239447594, 0.09158090502023697, 0.034365445375442505, 0.2028127908706665, 0.09754877537488937, 0.11932298541069031, 0.10082079470157623, 0.3026910126209259]"
12,솔직히 재미는 없음... 시간 때우기용도 안됨,0,0.9765633,"[""솔직히"", ""재미는"", ""없음..."", ""시간"", ""때우기용도"", ""안됨""]","[0.012385964393615723, -0.11650408804416656, -0.2088245451450348, -0.04744243621826172, -0.5149278044700623, -0.09991519153118134]"
13,개연성이 밥말아먹었나 스토리가 왜 이 모양임?,0,0.97685754,"[""개연성이"", ""밥말아먹었나"", ""스토리가"", ""왜"", ""이"", ""모양임?""]","[0.011722731404006481, -0.26184314489364624, -0.2278461456298828, 0.08254780620336533, -0.12147759646177292, -0.29456254839897156]"
14,"연출, 연기, 음악 삼박자가 완벽하다. 꼭 극장가서 보세요.",1,0.986847,"[""연출,"", ""연기,"", ""음악"", ""삼박자가"", ""완벽하다."", ""꼭"", ""극장가서"", ""보세요.""]","[0.09722490608692169, 0.07722242921590805, -0.00301316287368536, 0.0597582571208477, 0.176347553730011, 0.023302214220166206, 0.19348950684070587, 0.3696419894695282]"
15,하도 재밌다길래 봤는데 진짜 개노잼임 절대보지마셈,0,0.9775549,"[""하도"", ""재밌다길래"", ""봤는데"", ""진짜"", ""개노잼임"", ""절대보지마셈""]","[-0.04412340000271797, 0.12608277797698975, 0.03683507815003395, 0.023791806772351265, -0.35079264640808105, -0.418374240398407]"
16,오랜만에 가슴 따뜻해지는 웰메이드 영화 한 편 봤네요. 강추!!,1,0.98802584,"[""오랜만에"", ""가슴"", ""따뜻해지는"", ""웰메이드"", ""영화"", ""한"", ""편"", ""봤네요."", ""강추!!""]","[-0.0014009108999744058, 0.05116651579737663, 0.12254441529512405, 0.12669745087623596, -0.02516576647758484, 0.14015132188796997, 0.09705156087875366, -0.05744381994009018, 0.3783782422542572]"
17,뻔하디 뻔한 한국식 억지 감동 짜내기 영화 극혐,0,0.97585016,"[""뻔하디"", ""뻔한"", ""한국식"", ""억지"", ""감동"", ""짜내기"", ""영화"", ""극혐""]","[-0.004941175226122141, -0.129603773355484, -0.11328943818807602, -0.14448663592338562, -0.010953202843666077, -0.26757705211639404, -0.08273276686668396, -0.2464158982038498]"
18,내 돈이랑 시간 돌려내라 ㅋㅋㅋ 감독 누구냐 진짜,0,0.9761514,"[""내"", ""돈이랑"", ""시간"", ""돌려내라"", ""ㅋㅋㅋ"", ""감독"", ""누구냐"", ""진짜""]","[0.03476763144135475, 0.025743933394551277, -0.04752290993928909, 0.10682720690965652, -0.04193166270852089, -0.6248044967651367, -0.10807651281356812, -0.010325679555535316]"
19,배우들 얼굴 보러 갔다가 힐링 제대로 하고 옴 ㅠㅠ 연기도 찰떡,1,0.9860924,"[""배우들"", ""얼굴"", ""보러"", ""갔다가"", ""힐링"", ""제대로"", ""하고"", ""옴"", ""ㅠㅠ"", ""연기도"", ""찰떡""]","[0.02346314862370491, -0.06438527256250381, 0.014177418313920498, 0.01898743025958538, 0.3645588457584381, 0.12543489038944244, -0.004086956847459078, 0.084928959608078, 0.035120513290166855, 0.09040764719247818, 0.17444901168346405]"
20,초반엔 오? 하다가 후반 갈수록 산으로 가네 ㅋㅋㅋ 어이없음,0,0.97776616,"[""초반엔"", ""오?"", ""하다가"", ""후반"", ""갈수록"", ""산으로"", ""가네"", ""ㅋㅋㅋ"", ""어이없음""]","[-0.021572217345237732, -0.03595222532749176, -0.01524245087057352, -0.06546170264482498, -0.0789402574300766, -0.45178166031837463, -0.12200003862380981, -0.009249170310795307, -0.1998002529144287]"
21,인생작입니다. 살면서 본 시트콤 중에 감히 최고라고 말하고 싶네요.,1,0.98762137,"[""인생작입니다."", ""살면서"", ""본"", ""시트콤"", ""중에"", ""감히"", ""최고라고"", ""말하고"", ""싶네요.""]","[0.29188597202301025, 0.11456841230392456, 0.07099098712205887, 0.1956433802843094, 0.05252193287014961, 0.057975560426712036, 0.17263011634349823, 0.011665399186313152, 0.03211814537644386]"
