sample_id,model,method,prediction,probability,llm_sentiment,prediction_llm_agreement,topk_recall,jaccard,signed_cosine,evidence_mass,polarity_agreement,llm_match_score,xai_top_words,llm_evidence_words,sample_type
case_001,cnn,unigram_occlusion,positive,0.9897575378417969,positive,True,0.666667,0.5,0.606161,0.994883,1.0,0.659106,영화 | 정말 | 재미있어요,정말 | 재미있어요 | 추천합니다,custom
case_002,cnn,unigram_occlusion,negative,0.9862291812896729,negative,True,0.6,0.6,0.441302,1.0,0.666667,0.620326,지루하고 | 연기도 | 별로네요,스토리가 | 지루하고 | 배우들 | 연기도 | 별로네요,custom
case_003,cnn,unigram_occlusion,positive,0.9185996651649475,positive,True,0.6,0.6,0.679938,1.0,1.0,0.679984,지루했는데 | 정말 | 재미있어지네요,처음엔 | 지루했는데 | 갈수록 | 정말 | 재미있어지네요,custom
case_004,cnn,unigram_occlusion,negative,0.976716160774231,negative,True,0.5,0.5,0.552907,1.0,1.0,0.588227,각본이 | 너무 | 쓰레기네요,배우들의 | 연기는 | 명품인데 | 각본이 | 너무 | 쓰레기네요,custom
case_005,cnn,unigram_occlusion,negative,0.70521080493927,negative,True,0.375,0.375,0.191678,0.986197,0.333333,0.420849,같은 | 돈을 | 대단하다,이런 | 영화에 | 내 | 피 | 같은 | 돈을 | 쓰다니 | 대단하다,custom
case_006,cnn,unigram_occlusion,positive,0.8118757009506226,negative,False,0.4,0.333333,-0.136538,0.551861,0.0,0.306112,보면 | 좋은 | 훌륭한,수면제 | 대신 | 보면 | 딱 | 좋은,custom
case_007,cnn,unigram_occlusion,positive,0.9715786576271057,positive,True,0.75,0.75,0.509773,0.982608,0.666667,0.724834,개존잼!!! | 꼭보세요 | ㅋㅋㅋ,진짜 | 개존잼!!! | 꼭보세요 | ㅋㅋㅋ,custom
case_008,cnn,unigram_occlusion,negative,0.9990574717521667,negative,True,0.75,0.75,0.589009,0.989772,1.0,0.745718,시간낭비 | 다신 | 안봄,시간낭비 | 다신 | 안봄 | ㅡㅡ,custom
case_009,cnn,unigram_occlusion,positive,0.7318828701972961,positive,True,0.5,0.4,0.684989,0.81647,1.0,0.568718,지루하긴 | 한데 | 멋있음,스토리가 | 지루하긴 | 배우들은 | 멋있음,custom
case_010,cnn,unigram_occlusion,positive,0.9811633229255676,positive,True,0.285714,0.25,0.470095,0.814604,1.0,0.402214,"재미있는 | 부모님, | 재밌을",상당히 | 재미있는 | 영화에요 | 더 | 재밌을 | 것 | 같아요,custom
case_011,cnn,unigram_occlusion,negative,0.997015118598938,negative,True,0.5,0.5,0.67081,1.0,1.0,0.617702,알바들만 | 돈 | 아깝다,평점 | 알바들만 | 넘치네 | 진짜 | 돈 | 아깝다,custom
case_012,cnn,unigram_occlusion,positive,0.9975270628929138,positive,True,0.5,0.5,0.682928,0.925284,1.0,0.609525,가슴 | 먹먹해지는 | 수작.,백배 | 천배 | 낫다. | 가슴 | 먹먹해지는 | 수작.,custom
case_013,cnn,unigram_occlusion,negative,0.9921754002571106,negative,True,0.6,0.6,0.620588,0.995236,1.0,0.664432,재미는 | 없음... | 때우기용도,재미는 | 없음... | 시간 | 때우기용도 | 안됨,custom
case_014,cnn,unigram_occlusion,negative,0.999669075012207,negative,True,0.5,0.5,0.52535,1.0,1.0,0.581337,개연성이 | 밥말아먹었나 | 스토리가,개연성이 | 밥말아먹었나 | 스토리가 | 왜 | 이 | 모양임?,custom
case_015,cnn,unigram_occlusion,positive,0.925296425819397,positive,True,0.375,0.375,0.32438,1.0,0.333333,0.456095,삼박자가 | 완벽하다. | 극장가서,"연출, | 연기, | 음악 | 삼박자가 | 완벽하다. | 꼭 | 극장가서 | 보세요.",custom
case_016,cnn,unigram_occlusion,negative,0.9830611348152161,negative,True,0.666667,0.5,0.60763,0.964232,1.0,0.654876,재밌다길래 | 개노잼임 | 절대보지마셈,진짜 | 개노잼임 | 절대보지마셈,custom
case_017,cnn,unigram_occlusion,positive,0.9999328851699829,positive,True,0.5,0.4,0.75457,0.746223,1.0,0.575576,오랜만에 | 따뜻해지는 | 웰메이드,가슴 | 따뜻해지는 | 웰메이드 | 강추!!,custom
case_018,cnn,unigram_occlusion,negative,0.9848324656486511,negative,True,0.5,0.5,0.61315,0.977828,1.0,0.599962,억지 | 짜내기 | 극혐,뻔하디 | 뻔한 | 억지 | 감동 | 짜내기 | 극혐,custom
case_019,cnn,unigram_occlusion,negative,0.9812391996383667,negative,True,0.5,0.5,0.594047,0.914366,1.0,0.585667,돈이랑 | 감독 | 누구냐,돈이랑 | 시간 | 돌려내라 | 감독 | 누구냐 | 진짜,custom
case_020,cnn,unigram_occlusion,positive,0.959521472454071,positive,True,0.333333,0.285714,0.310444,0.542762,1.0,0.347121,힐링 | ㅠㅠ | 찰떡,힐링 | 제대로 | 하고 | 옴 | 연기도 | 찰떡,custom
case_021,cnn,unigram_occlusion,negative,0.9880245327949524,negative,True,0.428571,0.428571,0.459567,0.973731,0.666667,0.518094,오? | 산으로 | 어이없음,초반엔 | 오? | 후반 | 갈수록 | 산으로 | 가네 | 어이없음,custom
case_022,cnn,unigram_occlusion,positive,0.9833064675331116,positive,True,0.4,0.333333,0.663291,0.806541,1.0,0.510137,인생작입니다. | 살면서 | 최고라고,인생작입니다. | 감히 | 최고라고 | 말하고 | 싶네요.,custom
case_023,cnn,unigram_occlusion,negative,0.9969316720962524,negative,True,0.75,0.75,0.712041,1.0,1.0,0.77801,지루해서 | 중간에 | 돈날림주의;;;,지루해서 | 중간에 | 나왔어요 | 돈날림주의;;;,custom
case_024,cnn,unigram_occlusion,negative,0.9195727109909058,negative,True,0.333333,0.333333,0.810971,1.0,1.0,0.552743,스토리가 | 엉성해요. | 없는,영상미는 | 좋은데 | 스토리가 | 너무 | 엉성해요. | 남는 | 게 | 없는 | 느낌.,custom
case_025,cnn,unigram_occlusion,positive,0.6135897040367126,positive,True,0.428571,0.428571,0.506514,0.958149,1.0,0.527494,유치하긴 | 가볍게 | 좋네요,킬링타임으로 | 제격임 | 유치하긴 | 한데 | 가볍게 | 웃기 | 좋네요,custom
case_026,cnn,unigram_occlusion,positive,0.9844313263893127,positive,True,0.375,0.375,0.524705,1.0,0.666667,0.506176,왜 | 완전 | 명작인데,평점 | 왜 | 이럼? | 생각보다 | 완전 | 명작인데 | 억까들 | 많네,custom
case_027,cnn,unigram_occlusion,negative,0.9695852398872375,negative,True,0.375,0.375,0.671597,1.0,1.0,0.542899,웹툰이 | 그냥 | 수준,원작 | 웹툰이 | 훨씬 | 나음.. | 실사화는 | 그냥 | 폭망 | 수준,custom
case_028,cnn,unigram_occlusion,positive,0.9656215906143188,positive,True,0.333333,0.285714,0.468485,0.755965,1.0,0.418611,볼 | 인생 | 설렘,완전 | 인생 | 영화 | 건짐... | 설렘 | 터짐,custom
case_029,cnn,unigram_occlusion,negative,0.9995947480201721,negative,True,0.428571,0.428571,0.671769,1.0,1.0,0.575085,1점도 | 아깝다 | 엉망진창임,1점도 | 아깝다 | 스토리 | 연출 | 캐스팅 | 다 | 엉망진창임,custom
case_030,cnn,unigram_occlusion,positive,0.9928559064865112,positive,True,0.166667,0.125,0.469402,0.440037,1.0,0.272939,가슴 | 사실을 | 영화입니다.,잘 | 담아낸 | 의미 | 있는 | 영화입니다. | 먹먹하네요.,custom
case_001,cnn,ngram_occlusion,positive,0.9897575378417969,positive,True,1.0,1.0,0.962731,0.882903,1.0,0.973118,정말 | 재미있어요 | 추천합니다,정말 | 재미있어요 | 추천합니다,custom
case_002,cnn,ngram_occlusion,negative,0.9862291812896729,negative,True,0.6,0.6,0.850741,1.0,1.0,0.722685,배우들 | 연기도 | 별로네요,스토리가 | 지루하고 | 배우들 | 연기도 | 별로네요,custom
case_003,cnn,ngram_occlusion,positive,0.9185996651649475,positive,True,0.6,0.6,0.903201,1.0,1.0,0.7358,갈수록 | 정말 | 재미있어지네요,처음엔 | 지루했는데 | 갈수록 | 정말 | 재미있어지네요,custom
case_004,cnn,ngram_occlusion,negative,0.976716160774231,negative,True,0.5,0.5,0.719265,1.0,1.0,0.629816,각본이 | 너무 | 쓰레기네요,배우들의 | 연기는 | 명품인데 | 각본이 | 너무 | 쓰레기네요,custom
case_005,cnn,ngram_occlusion,negative,0.70521080493927,negative,True,0.375,0.375,0.660346,0.974355,1.0,0.53624,피 | 같은 | 돈을,이런 | 영화에 | 내 | 피 | 같은 | 돈을 | 쓰다니 | 대단하다,custom
case_006,cnn,ngram_occlusion,positive,0.8118757009506226,negative,False,0.2,0.142857,-0.417663,0.487281,0.0,0.178807,좋은 | 훌륭한 | 영화입니다,수면제 | 대신 | 보면 | 딱 | 좋은,custom
case_007,cnn,ngram_occlusion,positive,0.9715786576271057,positive,True,0.75,0.75,0.829716,0.980394,1.0,0.804488,개존잼!!! | 꼭보세요 | ㅋㅋㅋ,진짜 | 개존잼!!! | 꼭보세요 | ㅋㅋㅋ,custom
case_008,cnn,ngram_occlusion,negative,0.9990574717521667,negative,True,0.25,0.166667,0.620635,0.686683,1.0,0.387328,시간낭비 | 오지구요 | 지리구요,시간낭비 | 다신 | 안봄 | ㅡㅡ,custom
case_009,cnn,ngram_occlusion,positive,0.7318828701972961,positive,True,0.5,0.4,0.858939,0.8612,1.0,0.618915,한데 | 배우들은 | 멋있음,스토리가 | 지루하긴 | 배우들은 | 멋있음,custom
case_010,cnn,ngram_occlusion,positive,0.9811633229255676,positive,True,0.285714,0.25,0.680704,0.749732,1.0,0.445136,재미있는 | 영화에요 | 친구들이나,상당히 | 재미있는 | 영화에요 | 더 | 재밌을 | 것 | 같아요,custom
case_011,cnn,ngram_occlusion,negative,0.997015118598938,negative,True,0.5,0.5,0.880825,1.0,1.0,0.670206,알바들만 | 돈 | 아깝다,평점 | 알바들만 | 넘치네 | 진짜 | 돈 | 아깝다,custom
