sample_id,split,text,true_label,prediction,probability,layer,layer_role,projection,strength_by_true_label,strength_by_prediction,logit_negative,logit_positive,logit_margin
0,train,예고편 보고 기대하고 갔는데 실망이 큽니다. 스토리도.. 웃음은 어디에서??,0,0,0.9768784,0,embedding,-0.14117652,0.14117652,0.14117652,1.9046383,-1.8389577,-3.743596
1,train,"아 왜?0은 없나요??아무리 생각해고 이런 쓰레기 영화를본내가 한심함. 사실...작년1월말 피끓는 청춘 볼려고 했는데,엄마가 하지원 나온다는 이유로 억지로 봤는데 재미없음 .안보는게 좋을뜻",0,0,0.9777458,0,embedding,-0.45755553,0.45755553,0.45755553,1.9274595,-1.8552577,-3.7827172
2,train,재미없을거 같네요 하하하,0,0,0.7381362,0,embedding,0.11313329,-0.11313329,-0.11313329,0.6259796,-0.4103239,-1.0363035
3,train,정말 좋네요 이 영화 강추!!!!,1,1,0.9856147,0,embedding,1.0874467,1.0874467,1.0874467,-2.065304,2.1617572,4.2270613
4,train,저는 정말 재밌게 봤어요. 얼른 후편이 나와서 감독님의 에일리언에 대한 세계관을 풀어주셨으면 좋겠습니다. 가상의 존재이지만 너무 궁금해요..,1,1,0.98831135,0,embedding,0.3649186,0.3649186,0.3649186,-2.1961026,2.2412827,4.4373856
5,train,드팔마의 연출은 최고....,1,1,0.9851836,0,embedding,0.5908692,0.5908692,0.5908692,-2.0854506,2.1116436,4.197094
6,train,가슴이 찡... 해 집니다...,1,1,0.98799986,0,embedding,1.0955244,1.0955244,1.0955244,-2.184787,2.2259758,4.410763
7,train,절제된 시대극의 멋진 연기와 구로사와만의 독특한 미상센이 인상깊다,1,1,0.9871976,0,embedding,0.22028708,0.22028708,0.22028708,-2.1499736,2.1952615,4.345235
8,train,반새드 .. 반해피...,1,1,0.9554764,0,embedding,0.5572978,0.5572978,0.5572978,-1.4886969,1.5774938,3.0661907
9,train,진정한 타잔을 볼 수 있다.,1,1,0.6359488,0,embedding,0.67615926,0.67615926,0.67615926,-0.19430403,0.36351925,0.5578233
10,train,대체 언제 무서워 해야 돼는거지..???,0,0,0.81612074,0,embedding,-0.76870906,0.76870906,0.76870906,0.8041004,-0.68618286,-1.4902833
